n,q,t,beta,seed,model,alpha,plateau,fitted_plateau,fitted_slope_len,delta,true_k,model_k,true_cost,model_cost,cost_error,bound_holds,true_d,model_d,seconds
320,13,160,40,2,GSA,0.49999999497855496,52,-1,-1,45.37726317227805,141,152,302.8862373242044,260.4811881806794,42.40504914352499,True,32,17,149.526
320,13,160,40,2,TGSA,0.49999999497855496,52,-1,-1,106.38686446977596,141,156,302.8862373242044,366.1555648262156,63.26932750201121,True,32,11,149.526
320,13,160,40,2,ZGSA,0.49999999497855496,52,101,118,90.37304369513868,141,154,302.8862373242044,221.29763316173626,81.58860416246813,True,32,32,149.526
320,13,160,40,0,GSA,0.49999999951906005,51,-1,-1,44.71123100080422,144,152,302.419069414038,259.89581865169396,42.52325076234405,True,32,18,156.718
320,13,160,40,0,TGSA,0.49999999951906005,51,-1,-1,106.33961545571839,144,156,302.419069414038,366.15556482621344,63.73649541217543,True,32,11,156.718
320,13,160,40,0,ZGSA,0.49999999951906005,51,100,120,89.28416942934732,144,154,302.419069414038,220.6659761347098,81.7530932793282,True,32,32,156.718
320,13,160,40,6,GSA,0.4999999998864087,58,-1,-1,43.72740587043944,143,152,295.3462314414763,253.6127771859704,41.733454255505876,True,32,18,159.416
320,13,160,40,6,TGSA,0.4999999998864087,58,-1,-1,112.8944806707149,143,156,295.3462314414763,366.15556482621434,70.80933338473807,True,32,11,159.416
320,13,160,40,6,ZGSA,0.4999999998864087,58,101,118,82.155925125231,143,154,295.3462314414763,221.297631528301,74.04859991317528,True,32,32,159.416
320,31,160,40,2,GSA,0.5000000776119772,26,-1,-1,34.75322628300608,150,154,354.8097623255622,320.4097961363759,34.39996618918627,True,24,13,177.852
320,31,160,40,2,TGSA,0.5000000776119772,26,-1,-1,52.788533326807894,150,156,354.8097623255622,366.1555648262149,11.345802500652724,True,24,11,177.852
320,31,160,40,2,ZGSA,0.5000000776119772,26,94,133,87.0895002691864,150,155,354.8097623255622,272.06817426314205,82.74158806242013,True,24,24,177.852
320,31,160,40,3,GSA,0.500000067374899,28,-1,-1,36.31690297162634,149,154,354.05636702486663,318.75889613607745,35.29747088878918,True,24,13,178.809
320,31,160,40,3,TGSA,0.500000067374899,28,-1,-1,55.200793508162505,149,156,354.05636702486663,366.15556482621594,12.099197801349305,True,24,11,178.809
320,31,160,40,3,ZGSA,0.500000067374899,28,94,133,87.21771070967756,149,155,354.05636702486663,272.06817871236814,81.9881883124985,True,24,24,178.809
320,31,160,40,1,GSA,0.5000000237208544,29,-1,-1,36.838507169236834,150,154,353.6970312291931,317.3167050169522,36.3803262122409,True,24,14,221.872
320,31,160,40,1,TGSA,0.5000000237208544,29,-1,-1,56.35594339703512,150,156,353.6970312291931,366.1555648262147,12.458533597021585,True,24,11,221.872
320,31,160,40,1,ZGSA,0.5000000237208544,29,137,47,85.73716056661377,150,158,353.6970312291931,308.76184564253344,44.93518558665966,True,24,24,221.872
320,31,160,40,0,GSA,0.5000000292146538,29,-1,-1,36.82162698080835,149,154,352.69483923560915,317.2655687336479,35.42927050196124,True,24,14,224.565
320,31,160,40,0,TGSA,0.5000000292146538,29,-1,-1,56.34791990567453,149,156,352.69483923560915,366.1555648262132,13.460725590604056,True,24,11,224.565
320,31,160,40,0,ZGSA,0.5000000292146538,29,96,129,87.13358907424089,149,155,352.69483923560915,273.7752813356335,78.91955789997564,True,24,24,224.565
320,31,240,40,0,GSA,0.7499999999993885,181,-1,-1,43.48947970857512,111,150,224.35870985852733,204.02968357805094,20.3290262804764,True,46,24,129.349
320,31,240,40,0,TGSA,0.7499999999993885,181,-1,-1,190.90468983765982,111,156,224.35870985852733,366.15556482621525,141.79685496768792,True,46,11,129.349
320,31,240,40,0,ZGSA,0.7499999999993885,181,178,124,4.832723855150725,111,112,224.35870985852733,222.83676950048016,1.5219403580471749,True,46,46,129.349
320,31,240,40,4,GSA,0.7500000000000022,179,-1,-1,42.75932884403369,111,150,223.46402970612144,203.10447750121378,20.359552204907658,True,46,24,127.553
320,31,240,40,4,TGSA,0.7500000000000022,179,-1,-1,190.9046898379217,111,156,223.46402970612144,366.1555648262157,142.69153512009427,True,46,11,127.553
320,31,240,40,4,ZGSA,0.7500000000000022,179,184,113,4.026049664389468,111,110,223.46402970612144,226.61316946039784,3.149139754276405,True,46,46,127.553
320,31,240,40,5,GSA,0.7499999999996542,179,-1,-1,43.239048727654094,112,150,224.31830339446236,203.71235153423817,20.605951860224195,True,46,24,129.831
320,31,240,40,5,TGSA,0.7499999999996542,179,-1,-1,190.90468983777367,112,156,224.31830339446236,366.1555648262157,141.83726143175335,True,46,11,129.831
320,31,240,40,5,ZGSA,0.7499999999996542,179,182,116,4.542349133143844,112,111,224.31830339446236,225.3386936621783,1.020390267715925,True,46,46,129.831
320,31,240,40,8,GSA,0.7500000000000322,175,-1,-1,43.40337007631878,112,150,224.05875398858512,203.9205702987451,20.13818368984002,True,46,24,122.351
320,31,240,40,8,TGSA,0.7500000000000322,175,-1,-1,190.90468983793363,112,156,224.05875398858512,366.1555648262146,142.09681083762945,True,46,11,122.351
320,31,240,40,8,ZGSA,0.7500000000000322,175,178,125,4.512438677126603,112,112,224.05875398858512,222.8598049421695,1.1989490464156347,True,46,46,122.351
320,31,240,40,3,GSA,0.7499999999999483,176,-1,-1,43.74662094265754,112,150,224.9610680556919,204.3550508855543,20.60601717013759,True,46,24,136.9
320,31,240,40,3,TGSA,0.7499999999999483,176,-1,-1,190.90468983789748,112,156,224.9610680556919,366.1555648262139,141.194496770522,True,46,11,136.9
320,31,240,40,3,ZGSA,0.7499999999999483,176,179,122,4.836150801342818,112,112,224.9610680556919,223.46615316450794,1.494914891183953,True,46,46,136.9
320,31,240,40,2,GSA,0.7499999999999851,181,-1,-1,43.36935092718343,112,150,224.0390019146639,203.8774631441289,20.161538770535003,True,46,24,146.78
